Subject,Date,StartTime,EndTime,EventNotes,EventDetail,EventType 
"Day 1","08/20/2020","","","","","Event" 
"Day 2","08/21/2020","","","","","Event" 
"Day 3","08/24/2020","","","","","Event" 
"Day 4","08/25/2020","","","","","Event" 
"Day 5","08/26/2020","","","","","Event" 
"Day 6","08/27/2020","","","","","Event" 
"Day 7","08/28/2020","","","","","Event" 
"Day 8","08/31/2020","","","","","Event" 
"Day 9","09/01/2020","","","","","Event" 
"Day 1","09/02/2020","","","","","Event" 
"Day 2","09/03/2020","","","","","Event" 
"Day 3","09/04/2020","","","","","Event" 
"Day 4","09/07/2020","","","","","Event" 
"Day 5","09/08/2020","","","","","Event" 
"Day 6","09/09/2020","","","","","Event" 
"Day 7","09/10/2020","","","","","Event" 
"Day 8","09/11/2020","","","","","Event" 
"Day 9","09/14/2020","","","","","Event" 
"Day 1","09/15/2020","","","","","Event" 
"Day 2","09/16/2020","","","","","Event" 
"Day 3","09/17/2020","","","","","Event" 
"Day 4","09/18/2020","","","","","Event" 
"Day 5","09/22/2020","","","","","Event" 
"Day 6","09/23/2020","","","","","Event" 
"Day 7","09/24/2020","","","","","Event" 
"Day 8","09/25/2020","","","","","Event" 
"Day 9","09/28/2020","","","","","Event" 
"Day 1","09/29/2020","","","","","Event" 
"Day 2","09/30/2020","","","","","Event" 
"Day 3","10/01/2020","","","","","Event" 
"Day 4","10/02/2020","","","","","Event" 
"Day 5","10/05/2020","","","","","Event" 
"Day 6","10/06/2020","","","","","Event" 
"Day 7","10/07/2020","","","","","Event" 
"Day 8","10/08/2020","","","","","Event" 
"Day 9","10/09/2020","","","","","Event" 
"Day 6","10/12/2020","","","This line has been appended to the original file","","Event" 
"Day 1","10/13/2020","","","","","Event" 
"Day 2","10/14/2020","","","","","Event" 
"Day 3","10/15/2020","","","","","Event" 
"Day 4","10/16/2020","","","","","Event" 
"Day 5","10/19/2020","","","","","Event" 
"Day 6","10/20/2020","","","","","Event" 
"Day 7","10/21/2020","","","","","Event" 
"Day 8","10/22/2020","","","","","Event" 
"Day 9","10/23/2020","","","","","Event" 
"Day 1","11/04/2020","","","","","Event" 
"Day 2","11/05/2020","","","","","Event" 
"Day 3","11/06/2020","","","","","Event" 
"Day 4","11/09/2020","","","","","Event" 
"Day 5","11/10/2020","","","","","Event" 
"Day 6","11/11/2020","","","","","Event" 
"Day 7","11/12/2020","","","","","Event" 
"Day 8","11/13/2020","","","","","Event" 
"Day 9","11/16/2020","","","","","Event" 
"Day 1","11/17/2020","","","","","Event" 
"Day 2","11/18/2020","","","","","Event" 
"Day 3","11/19/2020","","","","","Event" 
"Day 4","11/20/2020","","","","","Event" 
"Day 5","11/24/2020","","","","","Event" 
"Day 6","11/25/2020","","","","","Event" 
"Day 7","11/26/2020","","","","","Event" 
"Day 8","11/27/2020","","","","","Event" 
"Day 9","11/30/2020","","","","","Event" 
"Day 1","12/01/2020","","","","","Event" 
"Day 2","12/02/2020","","","","","Event" 
"Day 3","12/03/2020","","","","","Event" 
"Day 4","12/04/2020","","","","","Event" 
"Day 5","12/07/2020","","","","","Event" 
"Day 6","12/08/2020","","","","","Event" 
"Day 7","12/09/2020","","","","","Event" 
"Day 8","12/10/2020","","","","","Event" 
"Day 9","12/11/2020","","","","","Event" 
"Day 1","12/14/2020","","","","","Event" 
"Day 2","12/15/2020","","","","","Event" 
"Day 3","12/16/2020","","","","","Event" 
"Day 4","12/17/2020","","","","","Event" 
"Day 5","01/11/2021","","","","","Event" 
"Day 6","01/12/2021","","","","","Event" 
"Day 7","01/13/2021","","","","","Event" 
"Day 8","01/14/2021","","","","","Event" 
"Day 9","01/15/2021","","","","","Event" 
"Day 1","01/18/2021","","","","","Event" 
"Day 2","01/19/2021","","","","","Event" 
"Day 3","01/20/2021","","","","","Event" 
"Day 4","01/21/2021","","","","","Event" 
"Day 5","01/22/2021","","","","","Event" 
"Day 6","01/25/2021","","","","","Event" 
"Day 7","01/26/2021","","","","","Event" 
"Day 8","01/27/2021","","","","","Event" 
"Day 9","01/28/2021","","","","","Event" 
"Day 1","01/29/2021","","","","","Event" 
"Day 2","02/01/2021","","","","","Event" 
"Day 3","02/02/2021","","","","","Event" 
"Day 4","02/03/2021","","","","","Event" 
"Day 5","02/04/2021","","","","","Event" 
"Day 6","02/05/2021","","","","","Event" 
"Day 7","02/08/2021","","","","","Event" 
"Day 8","02/09/2021","","","","","Event" 
"Day 9","02/10/2021","","","","","Event" 
"Day 1","02/11/2021","","","","","Event" 
"Day 2","02/12/2021","","","","","Event" 
"Day 3","02/15/2021","","","","","Event" 
"Day 4","02/16/2021","","","","","Event" 
"Day 5","02/17/2021","","","","","Event" 
"Day 6","02/22/2021","","","","","Event" 
"Day 7","02/23/2021","","","","","Event" 
"Day 8","02/24/2021","","","","","Event" 
"Day 9","02/25/2021","","","","","Event" 
"Day 1","02/26/2021","","","","","Event" 
"Day 2","03/01/2021","","","","","Event" 
"Day 3","03/02/2021","","","","","Event" 
"Day 4","03/03/2021","","","","","Event" 
"Day 5","03/04/2021","","","","","Event" 
"Day 6","03/05/2021","","","","","Event" 
"Day 7","03/08/2021","","","","","Event" 
"Day 8","03/09/2021","","","","","Event" 
"Day 9","03/10/2021","","","","","Event" 
"Day 1","03/11/2021","","","","","Event" 
"Day 2","03/12/2021","","","","","Event" 
"Day 3","03/15/2021","","","","","Event" 
"Day 4","03/16/2021","","","","","Event" 
"Day 5","03/17/2021","","","","","Event" 
"Day 6","03/18/2021","","","","","Event" 
"Day 7","03/19/2021","","","","","Event" 
"Day 8","03/29/2021","","","","","Event" 
"Day 9","03/30/2021","","","","","Event" 
"Day 1","03/31/2021","","","","","Event" 
"Day 2","04/01/2021","","","","","Event" 
"Day 3","04/02/2021","","","","","Event" 
"Day 4","04/05/2021","","","","","Event" 
"Day 5","04/06/2021","","","","","Event" 
"Day 6","04/07/2021","","","","","Event" 
"Day 7","04/08/2021","","","","","Event" 
"Day 8","04/09/2021","","","","","Event" 
"Day 9","04/12/2021","","","","","Event" 
"Day 1","04/13/2021","","","","","Event" 
"Day 2","04/14/2021","","","","","Event" 
"Day 3","04/15/2021","","","","","Event" 
"Day 4","04/16/2021","","","","","Event" 
"Day 5","04/19/2021","","","","","Event" 
"Day 6","04/20/2021","","","","","Event" 
"Day 7","04/21/2021","","","","","Event" 
"Day 8","04/22/2021","","","","","Event" 
"Day 9","04/23/2021","","","","","Event" 
"Day 1","04/26/2021","","","","","Event" 
"Day 2","04/27/2021","","","","","Event" 
"Day 3","04/28/2021","","","","","Event" 
"Day 4","04/29/2021","","","","","Event" 
"Day 5","05/06/2021","","","","","Event" 
"Day 6","05/07/2021","","","","","Event" 
"Day 7","05/10/2021","","","","","Event" 
"Day 8","05/11/2021","","","","","Event" 
"Day 9","05/12/2021","","","","","Event" 
"Day 1","05/13/2021","","","","","Event" 
"Day 2","05/14/2021","","","","","Event" 
"Day 3","05/17/2021","","","","","Event" 
"Day 4","05/18/2021","","","","","Event" 
"Day 5","05/19/2021","","","","","Event" 
"Day 6","05/20/2021","","","","","Event" 
"Day 7","05/21/2021","","","","","Event" 
"Day 8","05/24/2021","","","","","Event" 
"Day 9","05/25/2021","","","","","Event" 
"Day 1","05/26/2021","","","","","Event" 
"Day 2","05/27/2021","","","","","Event" 
"Day 3","05/28/2021","","","","","Event" 
"Day 4","05/31/2021","","","","","Event" 
"Day 5","06/01/2021","","","","","Event" 
"Day 6","06/02/2021","","","","","Event" 
"Day 7","06/03/2021","","","","","Event" 
"Day 8","06/04/2021","","","","","Event" 
"Day 9","06/07/2021","","","","","Event" 
"Day 1","06/08/2021","","","","","Event" 
"Day 2","06/09/2021","","","","","Event" 
"Day 3","06/10/2021","","","","","Event" 
"Day 4","06/11/2021","","","","","Event" 
"Day 5","06/14/2021","","","","","Event"